image,status,marks,target_x,steering
data/images/0_cam_image_array_.jpg,lost,0,,0.0
data/images/60_cam_image_array_.jpg,detected,1,123,0.43
data/images/121_cam_image_array_.jpg,detected,1,123,0.43
data/images/181_cam_image_array_.jpg,lost,0,,0.0
data/images/242_cam_image_array_.jpg,detected,1,115,0.35000000000000003
data/images/302_cam_image_array_.jpg,lost,0,,0.0
data/images/363_cam_image_array_.jpg,lost,0,,0.0
data/images/424_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/484_cam_image_array_.jpg,detected,1,59,-0.21000000000000002
data/images/545_cam_image_array_.jpg,detected,1,135,0.55
data/images/605_cam_image_array_.jpg,lost,0,,0.0
data/images/666_cam_image_array_.jpg,lost,0,,0.0
data/images/727_cam_image_array_.jpg,lost,0,,0.0
data/images/787_cam_image_array_.jpg,lost,0,,0.0
data/images/848_cam_image_array_.jpg,detected,1,115,0.35000000000000003
data/images/908_cam_image_array_.jpg,detected,1,125,0.45
data/images/969_cam_image_array_.jpg,detected,1,88,0.08000000000000002
data/images/1029_cam_image_array_.jpg,detected,1,125,0.45
data/images/1090_cam_image_array_.jpg,lost,0,,0.0
data/images/1151_cam_image_array_.jpg,lost,0,,0.0
data/images/1211_cam_image_array_.jpg,detected,1,125,0.45
data/images/1272_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/1332_cam_image_array_.jpg,detected,1,135,0.55
data/images/1393_cam_image_array_.jpg,detected,1,135,0.55
data/images/1454_cam_image_array_.jpg,lost,0,,0.0
data/images/1514_cam_image_array_.jpg,detected,1,135,0.55
data/images/1575_cam_image_array_.jpg,lost,0,,0.0
data/images/1635_cam_image_array_.jpg,detected,1,125,0.45
data/images/1696_cam_image_array_.jpg,lost,0,,0.0
data/images/1757_cam_image_array_.jpg,detected,1,135,0.55
data/images/1817_cam_image_array_.jpg,lost,0,,0.0
data/images/1878_cam_image_array_.jpg,lost,0,,0.0
data/images/1938_cam_image_array_.jpg,lost,0,,0.0
data/images/1999_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/2059_cam_image_array_.jpg,detected,1,58,-0.22000000000000003
data/images/2120_cam_image_array_.jpg,detected,1,118,0.38
data/images/2181_cam_image_array_.jpg,lost,0,,0.0
data/images/2241_cam_image_array_.jpg,lost,0,,0.0
data/images/2302_cam_image_array_.jpg,detected,1,125,0.45
data/images/2362_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/2423_cam_image_array_.jpg,lost,0,,0.0
data/images/2484_cam_image_array_.jpg,lost,0,,0.0
data/images/2544_cam_image_array_.jpg,lost,0,,0.0
data/images/2605_cam_image_array_.jpg,detected,1,123,0.43
data/images/2665_cam_image_array_.jpg,lost,0,,0.0
data/images/2726_cam_image_array_.jpg,lost,0,,0.0
data/images/2787_cam_image_array_.jpg,lost,0,,0.0
data/images/2847_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/2908_cam_image_array_.jpg,detected,1,69,-0.11000000000000001
data/images/2968_cam_image_array_.jpg,lost,0,,0.0
data/images/3029_cam_image_array_.jpg,detected,1,135,0.55
data/images/3089_cam_image_array_.jpg,detected,1,135,0.55
data/images/3150_cam_image_array_.jpg,lost,0,,0.0
data/images/3211_cam_image_array_.jpg,detected,1,135,0.55
data/images/3271_cam_image_array_.jpg,lost,0,,0.0
data/images/3332_cam_image_array_.jpg,lost,0,,0.0
data/images/3392_cam_image_array_.jpg,lost,0,,0.0
data/images/3453_cam_image_array_.jpg,detected,1,125,0.45
data/images/3514_cam_image_array_.jpg,lost,0,,0.0
data/images/3574_cam_image_array_.jpg,lost,0,,0.0
data/images/3635_cam_image_array_.jpg,lost,0,,0.0
data/images/3695_cam_image_array_.jpg,detected,1,135,0.55
data/images/3756_cam_image_array_.jpg,lost,0,,0.0
data/images/3817_cam_image_array_.jpg,lost,0,,0.0
data/images/3877_cam_image_array_.jpg,detected,1,125,0.45
data/images/3938_cam_image_array_.jpg,lost,0,,0.0
data/images/3998_cam_image_array_.jpg,lost,0,,0.0
data/images/4059_cam_image_array_.jpg,lost,0,,0.0
data/images/4119_cam_image_array_.jpg,detected,1,135,0.55
data/images/4180_cam_image_array_.jpg,lost,0,,0.0
data/images/4241_cam_image_array_.jpg,lost,0,,0.0
data/images/4301_cam_image_array_.jpg,detected,1,123,0.43
data/images/4362_cam_image_array_.jpg,lost,0,,0.0
data/images/4422_cam_image_array_.jpg,detected,1,125,0.45
data/images/4483_cam_image_array_.jpg,lost,0,,0.0
data/images/4544_cam_image_array_.jpg,lost,0,,0.0
data/images/4604_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/4665_cam_image_array_.jpg,lost,0,,0.0
data/images/4725_cam_image_array_.jpg,detected,2,129,0.49000000000000005
data/images/4786_cam_image_array_.jpg,detected,1,69,-0.11000000000000001
data/images/4847_cam_image_array_.jpg,lost,0,,0.0
data/images/4907_cam_image_array_.jpg,lost,0,,0.0
data/images/4968_cam_image_array_.jpg,detected,1,134,0.54
data/images/5028_cam_image_array_.jpg,detected,1,135,0.55
data/images/5089_cam_image_array_.jpg,lost,0,,0.0
data/images/5149_cam_image_array_.jpg,detected,1,123,0.43
data/images/5210_cam_image_array_.jpg,lost,0,,0.0
data/images/5271_cam_image_array_.jpg,detected,1,125,0.45
data/images/5331_cam_image_array_.jpg,lost,0,,0.0
data/images/5392_cam_image_array_.jpg,lost,0,,0.0
data/images/5452_cam_image_array_.jpg,lost,0,,0.0
data/images/5513_cam_image_array_.jpg,lost,0,,0.0
data/images/5574_cam_image_array_.jpg,lost,0,,0.0
data/images/5634_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/5695_cam_image_array_.jpg,lost,0,,0.0
data/images/5755_cam_image_array_.jpg,lost,0,,0.0
data/images/5816_cam_image_array_.jpg,detected,1,135,0.55
data/images/5877_cam_image_array_.jpg,lost,0,,0.0
data/images/5937_cam_image_array_.jpg,lost,0,,0.0
data/images/5998_cam_image_array_.jpg,lost,0,,0.0
data/images/6058_cam_image_array_.jpg,lost,0,,0.0
data/images/6119_cam_image_array_.jpg,lost,0,,0.0
data/images/6179_cam_image_array_.jpg,detected,1,125,0.45
data/images/6240_cam_image_array_.jpg,lost,0,,0.0
data/images/6301_cam_image_array_.jpg,lost,0,,0.0
data/images/6361_cam_image_array_.jpg,detected,1,123,0.43
data/images/6422_cam_image_array_.jpg,lost,0,,0.0
data/images/6482_cam_image_array_.jpg,detected,2,86,0.06
data/images/6543_cam_image_array_.jpg,detected,1,52,-0.27999999999999997
data/images/6604_cam_image_array_.jpg,lost,0,,0.0
data/images/6664_cam_image_array_.jpg,detected,1,135,0.55
data/images/6725_cam_image_array_.jpg,detected,1,135,0.55
data/images/6785_cam_image_array_.jpg,lost,0,,0.0
data/images/6846_cam_image_array_.jpg,detected,1,135,0.55
data/images/6907_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/6967_cam_image_array_.jpg,lost,0,,0.0
data/images/7028_cam_image_array_.jpg,detected,1,125,0.45
data/images/7088_cam_image_array_.jpg,lost,0,,0.0
data/images/7149_cam_image_array_.jpg,lost,0,,0.0
data/images/7209_cam_image_array_.jpg,detected,2,127,0.47000000000000003
data/images/7270_cam_image_array_.jpg,detected,1,125,0.45
data/images/7331_cam_image_array_.jpg,lost,0,,0.0
data/images/7391_cam_image_array_.jpg,detected,1,125,0.45
data/images/7452_cam_image_array_.jpg,detected,1,125,0.45
data/images/7512_cam_image_array_.jpg,lost,0,,0.0
data/images/7573_cam_image_array_.jpg,detected,1,135,0.55
data/images/7634_cam_image_array_.jpg,lost,0,,0.0
data/images/7694_cam_image_array_.jpg,lost,0,,0.0
data/images/7755_cam_image_array_.jpg,detected,1,125,0.45
data/images/7815_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/7876_cam_image_array_.jpg,lost,0,,0.0
data/images/7937_cam_image_array_.jpg,lost,0,,0.0
data/images/7997_cam_image_array_.jpg,detected,1,125,0.45
data/images/8058_cam_image_array_.jpg,lost,0,,0.0
data/images/8118_cam_image_array_.jpg,detected,1,123,0.43
data/images/8179_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/8239_cam_image_array_.jpg,detected,1,52,-0.27999999999999997
data/images/8300_cam_image_array_.jpg,detected,1,135,0.55
data/images/8361_cam_image_array_.jpg,lost,0,,0.0
data/images/8421_cam_image_array_.jpg,lost,0,,0.0
data/images/8482_cam_image_array_.jpg,detected,1,121,0.41
data/images/8542_cam_image_array_.jpg,detected,1,125,0.45
data/images/8603_cam_image_array_.jpg,lost,0,,0.0
data/images/8664_cam_image_array_.jpg,lost,0,,0.0
data/images/8724_cam_image_array_.jpg,lost,0,,0.0
data/images/8785_cam_image_array_.jpg,detected,1,125,0.45
data/images/8845_cam_image_array_.jpg,lost,0,,0.0
data/images/8906_cam_image_array_.jpg,detected,1,135,0.55
data/images/8967_cam_image_array_.jpg,lost,0,,0.0
data/images/9027_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/9088_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/9148_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/9209_cam_image_array_.jpg,lost,0,,0.0
data/images/9269_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/9330_cam_image_array_.jpg,lost,0,,0.0
data/images/9391_cam_image_array_.jpg,detected,1,122,0.42000000000000004
data/images/9451_cam_image_array_.jpg,detected,1,125,0.45
data/images/9512_cam_image_array_.jpg,detected,1,135,0.55
data/images/9572_cam_image_array_.jpg,lost,0,,0.0
data/images/9633_cam_image_array_.jpg,lost,0,,0.0
data/images/9694_cam_image_array_.jpg,detected,1,125,0.45
data/images/9754_cam_image_array_.jpg,lost,0,,0.0
data/images/9815_cam_image_array_.jpg,lost,0,,0.0
data/images/9875_cam_image_array_.jpg,lost,0,,0.0
data/images/9936_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/9997_cam_image_array_.jpg,detected,1,125,0.45
data/images/10057_cam_image_array_.jpg,detected,2,90,0.1
data/images/10118_cam_image_array_.jpg,lost,0,,0.0
data/images/10178_cam_image_array_.jpg,lost,0,,0.0
data/images/10239_cam_image_array_.jpg,detected,1,125,0.45
data/images/10299_cam_image_array_.jpg,detected,1,121,0.41
data/images/10360_cam_image_array_.jpg,detected,1,125,0.45
data/images/10421_cam_image_array_.jpg,lost,0,,0.0
data/images/10481_cam_image_array_.jpg,lost,0,,0.0
data/images/10542_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/10602_cam_image_array_.jpg,detected,1,62,-0.18000000000000002
data/images/10663_cam_image_array_.jpg,detected,1,135,0.55
data/images/10724_cam_image_array_.jpg,lost,0,,0.0
data/images/10784_cam_image_array_.jpg,lost,0,,0.0
data/images/10845_cam_image_array_.jpg,lost,0,,0.0
data/images/10905_cam_image_array_.jpg,lost,0,,0.0
data/images/10966_cam_image_array_.jpg,lost,0,,0.0
data/images/11027_cam_image_array_.jpg,lost,0,,0.0
data/images/11087_cam_image_array_.jpg,detected,1,124,0.44000000000000006
data/images/11148_cam_image_array_.jpg,lost,0,,0.0
data/images/11208_cam_image_array_.jpg,lost,0,,0.0
data/images/11269_cam_image_array_.jpg,detected,1,125,0.45
data/images/11329_cam_image_array_.jpg,lost,0,,0.0
data/images/11390_cam_image_array_.jpg,detected,1,135,0.55
data/images/11451_cam_image_array_.jpg,lost,0,,0.0
data/images/11511_cam_image_array_.jpg,lost,0,,0.0
data/images/11572_cam_image_array_.jpg,lost,0,,0.0
data/images/11632_cam_image_array_.jpg,lost,0,,0.0
data/images/11693_cam_image_array_.jpg,detected,1,76,-0.04000000000000001
data/images/11754_cam_image_array_.jpg,detected,1,76,-0.04000000000000001
data/images/11814_cam_image_array_.jpg,lost,0,,0.0
data/images/11875_cam_image_array_.jpg,lost,0,,0.0
data/images/11935_cam_image_array_.jpg,lost,0,,0.0
data/images/11996_cam_image_array_.jpg,lost,0,,0.0
data/images/12057_cam_image_array_.jpg,lost,0,,0.0
