frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm
1,0.03948485100045218,32.23103700111096,6.874466998851858,selected,unavailable,,350
2,0.08624057000088214,23.285843000849127,5.9961839997413335,selected,unavailable,,350
3,0.13248524100163195,40.43907599952945,5.7585220001783455,selected,unavailable,,350
4,0.17961558400020294,41.38695000074222,5.6955050004035,selected,unavailable,,350
5,0.22670113100139133,41.3895980000234,5.648709000524832,selected,unavailable,,350
6,0.27381608500036236,41.43502300030377,5.633505999867339,selected,unavailable,,350
7,0.32091059500089614,41.31102499923145,5.736319000789081,selected,unavailable,,350
8,0.36956804400142573,42.823595000299974,5.787410000266391,selected,unavailable,,350
9,0.41496782100148266,39.727903000311926,5.624616000204696,selected,unavailable,,350
10,0.4623863070009975,41.481430000203545,5.8908709997922415,selected,unavailable,,350
11,0.5093394670002453,41.25754499909817,5.648505000863224,selected,unavailable,,350
12,0.5562263320007332,41.292878000604105,5.5460809999203775,selected,unavailable,,350
13,0.6036845960006758,41.58826200000476,5.821594999360968,selected,unavailable,,350
14,0.650671607001641,41.236916000343626,5.702893000488984,selected,unavailable,,350
15,0.6976579340007447,41.36476599887828,5.575228000452626,selected,unavailable,,350
16,0.7446808710010373,41.388691000975086,5.588801999692805,selected,unavailable,,350
17,0.7919979700000113,41.62974300015776,5.6397089992969995,selected,unavailable,,350
18,0.83927349500118,41.29856299914536,5.928760001552291,selected,unavailable,,350
19,0.8862500070008537,41.26141500091762,5.668227000569459,selected,unavailable,,350
20,0.9335359579999931,41.371598999830894,5.8696870000858326,selected,unavailable,,350
21,0.9804797110009531,41.23715700006869,5.659671000103117,selected,unavailable,,350
22,1.027502593000463,41.32274699986738,5.654152999341022,selected,unavailable,,350
23,1.0746422870015522,41.4609859999473,5.634912999084918,selected,unavailable,,350
24,1.1221770680003829,26.305905999834067,5.93516700064356,selected,unavailable,,350
25,1.1691587090008397,41.09697400053847,5.839428000399494,selected,unavailable,,350
26,1.2160031490002439,41.229157000998384,5.569616998400306,selected,unavailable,,350
27,1.2632884700014984,41.38348700143979,5.856058000063058,selected,unavailable,,350
28,1.3103781280005933,41.22826800085022,5.815724000058253,selected,unavailable,,350
29,1.3574920270002622,41.47420799927204,5.593171999862534,selected,unavailable,,350
30,1.4045541670002422,41.35532100008277,5.662227000357234,selected,unavailable,,350
