image,track_status,height_ratio,white_x,yellow_x,center_x
10451_cam_image_array_.jpg,selected,0.6,109.5,37.0,73.25
10451_cam_image_array_.jpg,selected,0.55,100.5,38.5,69.5
104_cam_image_array_.jpg,selected,0.9,155.0,,
104_cam_image_array_.jpg,selected,0.85,152.0,34.0,93.0
104_cam_image_array_.jpg,selected,0.8,147.0,35.0,91.0
104_cam_image_array_.jpg,selected,0.75,142.0,39.5,90.75
104_cam_image_array_.jpg,selected,0.7,136.0,43.5,89.75
104_cam_image_array_.jpg,selected,0.65,129.5,,
104_cam_image_array_.jpg,selected,0.6,123.0,57.0,90.0
104_cam_image_array_.jpg,selected,0.55,118.0,58.5,88.25
10508_cam_image_array_.jpg,selected,0.9,155.0,19.5,87.25
10508_cam_image_array_.jpg,selected,0.85,150.5,20.0,85.25
10508_cam_image_array_.jpg,selected,0.8,144.0,23.5,83.75
10508_cam_image_array_.jpg,selected,0.75,136.0,24.0,80.0
10508_cam_image_array_.jpg,selected,0.7,128.0,,
10508_cam_image_array_.jpg,selected,0.65,119.0,34.0,76.5
10508_cam_image_array_.jpg,selected,0.6,109.0,35.5,72.25
10508_cam_image_array_.jpg,selected,0.55,99.5,34.0,66.75
10540_cam_image_array_.jpg,selected,0.9,139.5,5.0,72.25
10540_cam_image_array_.jpg,selected,0.85,132.5,6.5,69.5
10540_cam_image_array_.jpg,selected,0.8,126.0,9.0,67.5
10540_cam_image_array_.jpg,selected,0.75,118.5,,
10540_cam_image_array_.jpg,selected,0.7,111.5,21.5,66.5
10540_cam_image_array_.jpg,selected,0.65,104.0,22.5,63.25
10540_cam_image_array_.jpg,selected,0.6,97.0,26.5,61.75
10540_cam_image_array_.jpg,selected,0.55,90.5,32.5,61.5
10572_cam_image_array_.jpg,selected,0.9,148.0,,
10572_cam_image_array_.jpg,selected,0.85,144.0,24.0,84.0
10572_cam_image_array_.jpg,selected,0.8,140.0,24.5,82.25
10572_cam_image_array_.jpg,selected,0.75,134.5,29.5,82.0
10572_cam_image_array_.jpg,selected,0.7,129.5,33.5,81.5
10572_cam_image_array_.jpg,selected,0.65,124.5,,
10572_cam_image_array_.jpg,selected,0.6,118.5,49.5,84.0
10572_cam_image_array_.jpg,selected,0.55,113.5,54.0,83.75
10692_cam_image_array_.jpg,selected,0.9,149.0,,
10692_cam_image_array_.jpg,selected,0.85,143.0,13.5,78.25
10692_cam_image_array_.jpg,selected,0.8,136.0,16.0,76.0
10692_cam_image_array_.jpg,selected,0.75,128.5,19.0,73.75
10692_cam_image_array_.jpg,selected,0.7,119.5,,
10692_cam_image_array_.jpg,selected,0.65,111.0,28.0,69.5
10692_cam_image_array_.jpg,selected,0.6,101.5,29.5,65.5
10692_cam_image_array_.jpg,selected,0.55,92.5,,
10708_cam_image_array_.jpg,selected,0.9,150.5,,
10708_cam_image_array_.jpg,selected,0.85,144.0,,
10708_cam_image_array_.jpg,selected,0.8,137.0,,
10708_cam_image_array_.jpg,selected,0.75,128.5,,
10708_cam_image_array_.jpg,selected,0.7,121.0,27.0,74.0
