run,frame,logged_status,status,source,pwm,ms
20260908_141033_123128,39,ready,ready,paired,388,1.530374982394278
20260908_141033_123128,42,ready,ready,paired,386,1.4461249811574817
20260908_141033_123128,45,ready,ready,paired,389,1.4352499274536967
20260908_141033_123128,48,ready,ready,paired,385,1.4946670271456242
20260908_141033_123128,51,ready,ready,paired,385,1.3245840091258287
20260908_141033_123128,54,ready,ready,paired,385,1.1810410069301724
20260908_141033_123128,57,ready,ready,paired,387,1.2132920091971755
20260908_141033_123128,60,ready,ready,paired,390,1.1689170496538281
20260908_141033_123128,63,ready,ready,paired,389,1.3218329986557364
20260908_141033_123128,66,ready,ready,paired,394,1.1667910730466247
20260908_141033_123128,69,ready,ready,paired,394,1.15566689055413
20260908_141033_123128,72,ready,ready,paired,395,1.1475840583443642
20260908_141033_123128,74,ready,ready,independent_estimated,393,1.8502080347388983
20260908_141033_123128,75,unavailable,ready,independent_estimated,392,1.964624971151352
