frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
50,2.3957664879999356,40.429964999930235,6.645053999818629,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
51,2.4429547090003325,26.163890999669093,6.683183000859572,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
52,2.4901696519991674,40.480779000063194,6.653534999713884,selected,ready,direct,direct,-0.04375,0.55,76.25,-0.0484375,354,True
53,2.5369641029992636,40.13663700061443,6.576166999366251,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
54,2.5850509379997675,41.347357000631746,6.659534999926109,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
55,2.631222861999049,39.5179620009003,6.572443999175448,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
56,2.6784897670004284,26.429386998643167,6.689016001473647,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
57,2.7256030819989974,40.3735220006638,6.659275999481906,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
58,2.772614899000473,40.280059998622164,6.650906001596013,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
59,2.81985256400003,40.51001900006668,6.647869000516948,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
60,2.8667467899995245,40.182968999943114,6.631480000578449,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
61,2.914117267999245,26.292222000847687,6.696701999317156,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
62,2.961101196000527,40.239672000097926,6.663128000582219,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
63,3.008252862999143,40.451724000377,6.620332998863887,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
64,3.055553026999405,40.63855400090688,6.5808889994514175,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
65,3.102480456000194,40.18302499935089,6.665369000984356,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
66,3.149610197000584,26.369387998784077,6.6358880012558075,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
67,3.196737549000318,40.17552500044985,6.693239000014728,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
68,3.2437710689991945,40.329949000806664,6.62322099924495,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
69,3.290937939000287,40.49972299981164,6.58724100139807,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
70,3.3380122919988935,40.343466000194894,6.652128999121487,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
71,3.3852149760004977,26.17609500157414,6.678054000076372,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
72,3.4322843289992306,40.35302199918078,6.6352209996694,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
73,3.479301293999015,40.28994899999816,6.646202999036177,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
74,3.5265948649994243,40.479037999830325,6.735552999089123,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
75,3.573546515999624,40.28339300020889,6.587833000594401,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
76,3.6209102350003377,26.55693999986397,6.620370000746334,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
77,3.667940940000335,40.2507090002473,6.698905001030653,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
78,3.714989848998812,40.28974500033655,6.6506099992693635,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
79,3.7619847400001163,40.232024000943056,6.6835159996117,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
80,3.8092201269992074,40.41929800041544,6.7359599997871555,selected,ready,direct,direct,-0.04375,0.55,76.25,-0.0484375,354,True
81,3.8563836829998763,26.12870700068015,6.668887999694562,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
82,3.904933343999801,41.82290399876365,6.645666000622441,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
83,3.9505146110004716,38.83645499990962,6.6649990003497805,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
84,3.9975650750002387,40.36833700047282,6.601166000109515,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
85,4.0447460189989215,40.460983000230044,6.640609999521985,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
86,4.092050589999417,26.391887999125174,6.781811000109883,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
87,4.1391359609988285,40.29215300033684,6.71220099866332,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
88,4.186403829000483,40.490093000698835,6.697572000120999,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
89,4.23330272199928,40.025415999480174,6.6435730004741345,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
90,4.280306557999211,40.28561599989189,6.636924999838811,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
91,4.327570240999194,26.26870499989309,6.67231300030835,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
92,4.374510891999307,40.26300500117941,6.598702999326633,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
93,4.421782260000327,40.447094001137884,6.742423000105191,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
94,4.468695468000078,40.25191300024744,6.580741001016577,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
95,4.515912114000457,40.580814000350074,6.556166999871493,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
96,4.563034929000423,26.34112899977481,6.618740000703838,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
97,4.610411850999299,40.29567100042186,7.0013259992265375,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
98,4.657397390999904,40.17917300006957,6.699961000776966,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
99,4.7043243939988315,40.136526000424055,6.709996998324641,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
100,4.7518692949997785,40.79182900022715,6.670258000667673,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
101,4.798639930999343,25.805601000683964,6.634184999711579,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
102,4.845705690999239,40.3153379993455,6.66964599986386,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
103,4.892819116999817,40.3822250009398,6.650905999777024,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
104,4.939951672999086,40.484982999259955,6.566740999915055,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
105,4.9870819879997725,40.37935499945888,6.646517000262975,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
106,5.034326504999626,26.35411099981866,6.7146090004825965,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
107,5.081290304000504,40.26193100071396,6.621574000746477,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
108,5.1284079710003425,40.38611400028458,6.651166000665398,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
109,5.1754466950005735,40.37039300055767,6.588185000509839,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
110,5.223961579000388,41.87842200008163,6.557538001288776,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
111,5.269777433999479,24.572881000494817,6.7030720001639565,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
112,5.317100819998814,40.5146680004691,6.727700998453656,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
113,5.363929713999823,40.107378001266625,6.639016999542946,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
114,5.411099380000451,40.45050199965772,6.63864700072736,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
115,5.458158641000409,40.31128200040257,6.668240001090453,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
116,5.505420268000307,26.292778000424732,6.776922000426566,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
117,5.5526236739988235,40.42255700005626,6.699997999021434,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
118,5.599557510999148,40.20626499914215,6.64646199948038,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
119,5.646731454999099,40.34917000171845,6.745756998498109,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
120,5.693795770999714,40.29294900101377,6.690812999295304,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
121,5.741011103000346,26.194686999588157,6.690739000987378,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
122,5.787886551999691,40.22137600077258,6.57212999976764,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
123,5.842746457999965,43.08221700011927,11.697690999426413,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
124,5.890170434999163,35.55865800080937,11.740579999241163,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
