frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.09401854700013246,1888411645000,0.079305654,True,35.99507199987784,55.28356500008158,ready,paired,,,0.059375,0.012499999999999997,370,363,True,
2,0.15803351800013843,1888505876000,0.049095754,True,33.056759000146485,28.21143200003462,ready,paired,,,0.059375,0.012499999999999997,370,363,True,
3,0.20498733800013724,1888552992000,0.048925927,True,16.30088199999591,27.900547999934133,ready,paired,,,0.059375,0.017187499999999994,370,362,True,
4,0.2522034880000774,1888600108000,0.04904904,True,16.369362999967052,28.115266999975574,ready,paired,,,0.059375,0.017187499999999994,370,362,True,
5,0.29918699400013793,1888647223000,0.048919693,True,16.191032000051564,28.0663779999486,ready,paired,,,0.059375,0.012499999999999997,400,363,True,
6,0.34619636900015394,1888694339000,0.048801624,True,16.286624000031225,27.98321299997042,ready,paired,,,0.059375,0.017187499999999994,400,362,True,
7,0.39636677700013934,1888741454000,0.051854107,True,19.550561999949423,27.876030000015817,ready,paired,,,0.059375,0.017187499999999994,400,362,True,
8,0.4407839820000845,1888788570000,0.049157219,True,13.568028999998205,28.109526999969603,ready,paired,,,0.059375,0.017187499999999994,400,362,True,
9,0.48753384200017535,1888835686000,0.048807005,True,16.11688499997399,27.907491999940248,ready,paired,,,0.05625,0.01874999999999999,400,362,True,
10,0.535287912000058,1888882801000,0.049452945,True,17.052465999995547,27.98115699988557,ready,paired,,,0.05625,0.01874999999999999,400,362,True,
11,0.5829417600000397,1888929917000,0.049982867,True,15.843444000211093,29.083717999810688,ready,paired,,,0.05625,0.01874999999999999,400,362,True,
12,0.6287445770001341,1888977033000,0.048662999,True,15.274357999942367,27.795493999974497,ready,paired,,,0.053125,0.006249999999999985,400,364,True,
13,0.6759359500001665,1889024149000,0.048747279,True,16.63608200010458,27.82960399986223,ready,paired,,,0.05,0.007812499999999986,400,364,True,
14,0.722449147000134,1889071265000,0.048147235,True,16.44136200002322,27.34912899995834,ready,paired,,,0.04375,0.010937499999999996,400,363,True,
