frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm,throttle_pwm
72,3.3974907920000987,40.73156600134098,6.226652998520876,selected,unavailable,,350,370
73,3.4444372149991977,40.768249999018735,6.133729000794119,selected,unavailable,,350,370
74,3.493114181999772,42.45746200103895,6.174153999381815,selected,unavailable,,350,370
75,3.538825662999443,39.49717899922689,6.1714690000371775,selected,unavailable,,350,370
76,3.585747937000633,40.659197000422864,6.218986000021687,selected,unavailable,,350,370
77,3.6329083559994615,40.970710000692634,6.142838999949163,selected,unavailable,,350,370
78,3.6799487589996716,40.84298999987368,6.149803000880638,selected,unavailable,,350,370
79,3.7270573820005666,40.880414000639576,6.184098998346599,selected,unavailable,,350,370
80,3.7741829129990947,40.915526000389946,6.165228000099887,selected,unavailable,,350,370
81,3.8213299059989367,40.91837700070755,6.167765999634867,selected,unavailable,,350,370
82,3.8695283069992,41.94554399873596,6.208894999872427,selected,unavailable,,350,370
83,3.9158499629993457,40.09428000063053,6.183469000461628,selected,unavailable,,350,370
84,3.962794181999925,40.69175100084976,6.207320999237709,selected,unavailable,,350,370
85,4.009824307000599,40.79104599986749,6.193987001097412,selected,unavailable,,350,370
86,4.05704609500026,40.98200599946722,6.195227999342023,selected,unavailable,,350,370
87,4.10405042399907,40.76380600054108,6.19696799913072,selected,unavailable,,350,370
88,4.151212823999231,40.91435900045326,6.203578999702586,selected,unavailable,,350,370
89,4.198372131999349,26.56686299997091,6.250170999919646,selected,unavailable,,350,370
90,4.245495143999506,40.71812099937233,6.246764000024996,selected,unavailable,,350,370
91,4.293657693999194,41.214113000023644,6.904197000039858,selected,unavailable,,350,370
92,4.339792463999402,39.84450600000855,6.243856998480624,selected,unavailable,,350,370
93,4.386742794000384,40.67782600031933,6.22613499945146,selected,unavailable,,350,370
94,4.433883416999379,40.88548900108435,6.207356998856994,selected,unavailable,,350,370
95,4.481247887999416,41.11567000109062,6.203969000125653,selected,unavailable,,350,370
96,4.528062998000678,40.58971599988581,6.181319999086554,selected,unavailable,,350,370
97,4.575192898999376,40.88095099905331,6.204172001162078,selected,unavailable,,350,370
98,4.622311762999743,40.8771180009353,6.195209998622886,selected,unavailable,,350,370
99,4.669410794000214,40.84793299989542,6.205450001289137,selected,unavailable,,350,370
100,4.716457122000065,40.86199000084889,6.141653999293339,selected,unavailable,,350,370
101,4.763590708000265,40.89563600064139,6.192580000060843,selected,unavailable,,350,370
102,4.813549246000548,43.68716399949335,6.227042000318761,selected,unavailable,,350,370
103,4.85788212099942,38.08407399992575,6.205301000591135,selected,unavailable,,350,370
104,4.905065261000345,40.94582200013974,6.19074599853775,selected,unavailable,,350,370
105,4.952095331000237,40.79323099904286,6.1883390008006245,selected,unavailable,,350,370
106,4.999285711999619,40.959931999168475,6.183949999467586,selected,unavailable,,350,370
107,5.046586573000241,41.00109799946949,6.254523001189227,selected,unavailable,,350,370
108,5.093520995998915,40.644178001457476,6.246430999453878,selected,unavailable,,350,370
109,5.140674693000619,40.94237699973746,6.165987000713358,selected,unavailable,,350,370
110,5.187561800999902,40.65091800111986,6.183210000017425,selected,unavailable,,350,370
111,5.234967697999309,26.75676599938015,6.230024000615231,selected,unavailable,,350,370
112,5.285424800998953,44.16150700126309,6.249763999221614,selected,unavailable,,350,370
113,5.328967429999466,37.273161999110016,6.224022999958834,selected,unavailable,,350,370
114,5.375976110999545,40.782564001347055,6.18032099919219,selected,unavailable,,350,370
115,5.423192009999184,40.930616998593905,6.240857001102995,selected,unavailable,,350,370
116,5.470220319999498,40.788823998809676,6.194376001076307,selected,unavailable,,350,370
117,5.517416998000044,40.94085900032951,6.211486001120647,selected,unavailable,,350,370
118,5.564545675999398,40.9071740014042,6.178708999868832,selected,unavailable,,350,370
119,5.61208618099954,41.264112000135356,6.233190000784816,selected,unavailable,,350,370
120,5.659020289000182,40.65771499881521,6.230838000192307,selected,unavailable,,350,370
121,5.706010915000661,40.70973200032313,6.236245999389212,selected,unavailable,,350,370
122,5.753210315000615,40.8561929998541,6.297373998677358,selected,unavailable,,350,370
123,5.800173125999208,40.69114000049012,6.228524000107427,selected,unavailable,,350,370
124,5.847412302999146,40.96343099990918,6.231376000869204,selected,unavailable,,350,370
125,5.894359187999726,40.664158999788924,6.237207999220118,selected,unavailable,,350,370
126,5.941660178999882,41.02844899898628,6.22848700004397,selected,unavailable,,350,370
127,5.988653508000425,40.779675999147,6.170209999254439,selected,unavailable,,350,370
128,6.035801242000161,40.881562999857124,6.222116000571987,selected,unavailable,,350,370
129,6.083398579999994,40.73593599969172,6.815605998781393,selected,unavailable,,350,370
130,6.1390006319998065,43.92030800045177,11.602968999795849,selected,unavailable,,350,370
131,6.185377490999599,34.78753699891968,11.516526001287275,selected,unavailable,,350,370
132,6.234753131000616,38.67019300014363,10.63831899955403,selected,unavailable,,350,370
133,6.279077154000333,7.696536000366905,10.69940999877872,selected,unavailable,,350,370
134,6.323351715000172,34.92731199912669,9.278305000407272,selected,unavailable,,350,370
135,6.370404412999051,37.815633999343845,9.177529000226059,selected,unavailable,,350,370
136,6.421299416999318,39.12137000043003,11.714819000189891,selected,unavailable,,350,370
137,6.468121693000285,35.254307000286644,11.493766998682986,selected,unavailable,,350,370
138,6.513963467999929,35.19715899892617,10.569486999884248,selected,unavailable,,350,370
139,6.560905816999366,36.29862200068601,10.57567200041376,selected,unavailable,,350,370
140,6.608076586999232,36.48280500055989,10.619892998875002,selected,unavailable,,350,370
141,6.655161433000103,36.37845400044171,10.6373930011614,selected,unavailable,,350,370
142,6.702749475000019,36.77715100093337,10.741890999270254,selected,unavailable,,350,370
143,6.75012342700029,36.67233799933456,10.63256000088586,selected,unavailable,,350,370
144,6.796814372999506,35.995460999401985,10.630393000610638,selected,unavailable,,350,370
145,6.844032716000584,36.521858999549295,10.627188999933423,selected,unavailable,,350,370
146,6.8912039320002805,36.44789700047113,10.654040999725112,selected,unavailable,,350,370
147,6.937936450000052,36.097551999773714,10.565894001047127,selected,unavailable,,350,370
148,6.985085406999133,36.49309999855177,10.588820001430577,selected,unavailable,,350,370
149,7.032051181000497,36.31160399891087,10.586394000711152,selected,unavailable,,350,370
150,7.079236358998969,36.509230001684045,10.604374998365529,selected,unavailable,,350,370
151,7.128897697999491,38.09435099901748,11.498453000967856,selected,unavailable,,350,370
152,7.1749562469995,34.42982100023073,11.554765998880612,selected,unavailable,,350,370
153,7.222218218999842,35.648243998366524,11.540989000422996,selected,unavailable,,350,370
154,7.2694004900004074,35.62383799908275,11.481471001388854,selected,unavailable,,350,370
155,7.316602556000362,6.326373000774765,11.264844999459456,selected,unavailable,,350,370
156,7.360855987999457,35.06212499996764,9.133547999226721,selected,unavailable,,350,370
157,7.406775019999259,36.683448999610846,9.177769999951124,selected,unavailable,,350,370
158,7.457823188000475,39.670824000495486,11.316825999529101,selected,unavailable,,350,370
159,7.504712629999631,35.33602700008487,11.479785998744774,selected,unavailable,,350,370
160,7.550416240999766,35.007477999897674,10.623578000377165,selected,unavailable,,350,370
161,7.597617954999805,36.57739600021159,10.556320001342101,selected,unavailable,,350,370
162,7.6467598769995675,38.42475300007209,10.651041000528494,selected,unavailable,,350,370
163,7.691906386000483,34.48857900002622,10.589837998850271,selected,unavailable,,350,370
164,7.738826217000678,36.22040200025367,10.633615000188001,selected,unavailable,,350,370
165,7.785896303999834,36.4169349995791,10.585059999357327,selected,unavailable,,350,370
166,7.833046055999148,36.54361799999606,10.5349869991187,selected,unavailable,,350,370
167,7.8802896039996995,36.53482200024882,10.64096699883521,selected,unavailable,,350,370
168,7.927383098000064,36.4263800001936,10.600522999084205,selected,unavailable,,350,370
169,7.976894568999342,37.91796499899647,11.525007999807713,selected,unavailable,,350,370
170,8.022879563999595,34.4077110003127,11.504043999593705,selected,unavailable,,350,370
171,8.069938872999046,35.5576910005766,11.429119998865644,selected,unavailable,,350,370
172,8.117544396000085,35.81316800045897,11.72061499892152,selected,unavailable,,350,370
173,8.162880104999203,34.64822500063747,10.613985999953002,selected,unavailable,,350,370
174,8.209950451999248,36.4283240014629,10.569116999249673,selected,unavailable,,350,370
175,8.259519756000373,37.96872400016582,11.531951999131707,selected,unavailable,,350,370
176,8.305724006000673,34.60144800010312,11.529526000231272,selected,unavailable,,350,370
177,8.349242300999322,6.295782000961481,7.631054999365006,selected,unavailable,,350,370
178,8.391567544000281,36.03714500059141,6.242411998755415,selected,unavailable,,350,370
179,8.438955588000681,41.07756000121299,6.265781999900355,selected,unavailable,,350,370
180,8.4858306419992,40.56821700032742,6.262947999857715,selected,unavailable,,350,370
181,8.53295043199978,40.73871299988241,6.238375999600976,selected,unavailable,,350,370
182,8.580502622000495,41.26463099964894,6.241356999453274,selected,unavailable,,350,370
183,8.627084179999656,40.298868998434045,6.237431000045035,selected,unavailable,,350,370
184,8.674265968998952,40.890747999583255,6.246282000574865,selected,unavailable,,350,370
185,8.721454202999666,40.905081001255894,6.238707999727922,selected,unavailable,,350,370
186,8.768370736999714,40.66423299991584,6.207876000189572,selected,unavailable,,350,370
187,8.815611988000455,40.9613760002685,6.234726999537088,selected,unavailable,,350,370
188,8.862603947000025,40.720732999034226,6.226875000720611,selected,unavailable,,350,370
189,8.909864068000388,40.96887600098853,6.245522999961395,selected,unavailable,,350,370
190,8.95690895199914,40.788379999867175,6.212968000909314,selected,unavailable,,350,370
191,9.004219608999847,41.04863399879832,6.216282999957912,selected,unavailable,,350,370
192,9.051194141999076,40.63884500101267,6.290688999797567,selected,unavailable,,350,370
193,9.098151619999044,40.665844000614015,6.246263999855728,selected,unavailable,,350,370
