frame,elapsed_s,sensor_timestamp,exposure_time,analogue_gain
1,0.004389853000247967,11318341190000,29968,2.5625
2,0.051776395999695524,11318388306000,29968,2.5625
3,0.09876066899960279,11318435423000,29968,2.5625
4,0.14460981199954404,11318482537000,29968,2.5625
5,0.19275091700001212,11318529654000,29968,2.5625
6,0.24076443100057077,11318576768000,29968,2.5625
7,0.2866376109996054,11318623884000,29968,2.5625
8,0.3329830980001134,11318670999000,29968,2.5625
9,0.3800021110000671,11318718114000,29968,2.5625
10,0.4278550719991472,11318765229000,29968,2.5625
11,0.47510661799969967,11318812346000,29968,2.5625
12,0.5229808200001571,11318859460000,29968,2.625
13,0.568455153999821,11318906575000,29968,2.625
14,0.6157079219992738,11318953689000,29968,2.625
15,0.6631353169996146,11319000806000,29968,2.625
16,0.7101659780000773,11319047921000,29968,2.625
17,0.7570343999996112,11319095037000,29968,2.625
18,0.804301445999954,11319142153000,29968,2.625
19,0.8544477020004706,11319189267000,29968,2.6875
20,0.8989711819995136,11319236385000,29968,2.6875
21,0.9455562019993522,11319283500000,29968,2.6875
22,0.992747137999686,11319330615000,29968,2.6875
23,1.0415571199991973,11319377729000,29968,2.6875
24,1.0874248929994792,11319424846000,29968,2.6875
25,1.1347776410002552,11319471961000,29968,2.6875
26,1.1811460339995392,11319519077000,29968,2.6875
27,1.2282338610002626,11319566192000,29968,2.6875
28,1.2752770209990558,11319613309000,29968,2.6875
29,1.3224292350005271,11319660423000,29968,2.6875
30,1.3710998129990912,11319707539000,29968,2.6875
31,1.4173512819997995,11319754655000,29968,2.6875
32,1.4647776399997383,11319801767000,29968,2.6875
33,1.510765392000394,11319848886000,29968,2.6875
34,1.5580635290007194,11319896000000,29968,2.6875
35,1.6051597259993287,11319943114000,29968,2.6875
36,1.652139702000568,11319990232000,29968,2.6875
37,1.699413951000679,11320037348000,29968,2.6875
38,1.746463555999071,11320084462000,29968,2.6875
39,1.7952847229989857,11320131576000,29968,2.6875
40,1.8415771370000584,11320178692000,29968,2.6875
41,1.8883986529999675,11320225807000,29968,2.6875
42,1.934861619000003,11320272925000,29968,2.6875
43,1.982183496998914,11320320037000,29968,2.6875
44,2.0291535840005963,11320367156000,29968,2.6875
