run,image,near_x,near_status,far_x,far_y,far_status,near_offset,preview_error,steering_pwm,control_status,track_status
133705,000507_raw.jpg,92.5,direct,87.25,0.55,direct,0.15625,0.057812499999999975,348,ready,selected
133705,000529_raw.jpg,92.25,direct,87.5,0.55,direct,0.153125,0.06406249999999997,347,ready,selected
133705,000551_raw.jpg,92.25,direct,87.25,0.55,direct,0.153125,0.05937499999999997,348,ready,selected
133705,000573_raw.jpg,92.5,direct,87.25,0.55,direct,0.15625,0.057812499999999975,348,ready,selected
133705,000595_raw.jpg,92.5,direct,87.25,0.55,direct,0.15625,0.057812499999999975,348,ready,selected
133705,000617_raw.jpg,92.5,direct,87.25,0.55,direct,0.15625,0.057812499999999975,348,ready,selected
133915,000001_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000023_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000045_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000067_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000089_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000111_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000133_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000155_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000177_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000199_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000221_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000243_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000265_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000287_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000309_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000331_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000353_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000375_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000397_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000419_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000441_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000463_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000485_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000507_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000529_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000551_raw.jpg,66.75,direct,70.25,0.55,direct,-0.165625,-0.09999999999999999,358,ready,selected
133915,000573_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000595_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
133915,000617_raw.jpg,66.5,direct,70.25,0.55,direct,-0.16875,-0.09843749999999997,358,ready,selected
134112,000001_raw.jpg,76.875,interpolated,71.75,0.55,direct,-0.0390625,-0.13515625,361,ready,selected
134112,000023_raw.jpg,77.125,interpolated,71.5,0.55,direct,-0.0359375,-0.14140625,361,ready,selected
134112,000045_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000067_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000089_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000111_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000133_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000155_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000177_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000199_raw.jpg,77.0,interpolated,71.5,0.55,direct,-0.0375,-0.14062500000000003,361,ready,selected
134112,000221_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000243_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000265_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000287_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000309_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000331_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000353_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000375_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
