image,height_ratio,yellow_candidates,white_candidates,status,center_x
1029_cam_image_array_.jpg,0.7,"[30.5, 155.0]","[124.5, 148.5]",ambiguous,
1029_cam_image_array_.jpg,0.8,[],"[138.0, 155.5]",no_pair,
1029_cam_image_array_.jpg,0.9,[10.5],[150.0],no_pair,
1090_cam_image_array_.jpg,0.6,"[33.5, 156.0]","[106.0, 155.0]",ambiguous,
1090_cam_image_array_.jpg,0.7,[31.0],[124.5],unique_pair,77.75
1090_cam_image_array_.jpg,0.8,[19.0],[139.0],unique_pair,79.0
1090_cam_image_array_.jpg,0.9,[12.5],[151.5],no_pair,
1151_cam_image_array_.jpg,0.6,"[26.0, 153.5]",[97.0],unique_pair,61.5
1151_cam_image_array_.jpg,0.7,"[3.0, 20.0, 152.0]",[115.0],ambiguous,
1151_cam_image_array_.jpg,0.8,[],[132.0],no_pair,
1151_cam_image_array_.jpg,0.9,[4.5],[145.5],no_pair,
1211_cam_image_array_.jpg,0.6,[45.0],[115.0],unique_pair,80.0
1211_cam_image_array_.jpg,0.7,"[29.5, 156.0]","[126.0, 148.0]",ambiguous,
1211_cam_image_array_.jpg,0.8,[20.5],"[137.0, 154.5]",ambiguous,
1211_cam_image_array_.jpg,0.9,[],[146.5],no_pair,
1272_cam_image_array_.jpg,0.6,"[48.5, 141.0]",[],no_pair,
1272_cam_image_array_.jpg,0.7,"[34.0, 155.0]","[128.0, 148.5]",ambiguous,
1272_cam_image_array_.jpg,0.8,[27.0],"[139.5, 155.5]",ambiguous,
1272_cam_image_array_.jpg,0.9,[],[150.5],no_pair,
1332_cam_image_array_.jpg,0.6,"[39.0, 157.5]","[112.5, 147.5]",ambiguous,
1332_cam_image_array_.jpg,0.7,[34.0],"[132.0, 154.5]",ambiguous,
1332_cam_image_array_.jpg,0.8,[30.0],[147.5],unique_pair,88.75
1332_cam_image_array_.jpg,0.9,[24.5],[157.0],unique_pair,90.75
1393_cam_image_array_.jpg,0.6,[36.5],[105.0],unique_pair,70.75
1393_cam_image_array_.jpg,0.7,[29.5],[123.5],unique_pair,76.5
1393_cam_image_array_.jpg,0.8,[24.0],[139.0],unique_pair,81.5
1393_cam_image_array_.jpg,0.9,[],[152.0],no_pair,
1454_cam_image_array_.jpg,0.6,[39.0],"[110.5, 156.0]",ambiguous,
1454_cam_image_array_.jpg,0.7,[34.0],[],no_pair,
1454_cam_image_array_.jpg,0.8,[30.0],[148.0],unique_pair,89.0
1454_cam_image_array_.jpg,0.9,[],[157.5],no_pair,
1514_cam_image_array_.jpg,0.6,[38.5],[109.0],unique_pair,73.75
1514_cam_image_array_.jpg,0.7,[29.0],[128.0],unique_pair,78.5
1514_cam_image_array_.jpg,0.8,[23.0],[144.0],unique_pair,83.5
1514_cam_image_array_.jpg,0.9,[],[155.0],no_pair,
1575_cam_image_array_.jpg,0.6,[41.0],"[110.0, 122.5, 147.0]",ambiguous,
1575_cam_image_array_.jpg,0.7,[],"[123.5, 147.0]",no_pair,
1575_cam_image_array_.jpg,0.8,[20.5],"[136.5, 154.0]",ambiguous,
1575_cam_image_array_.jpg,0.9,[17.5],[148.0],unique_pair,82.75
1635_cam_image_array_.jpg,0.6,[53.5],[119.5],unique_pair,86.5
1635_cam_image_array_.jpg,0.7,"[41.5, 141.5]","[132.0, 151.0]",ambiguous,
1635_cam_image_array_.jpg,0.8,"[36.0, 157.5]","[143.5, 157.0]",ambiguous,
1635_cam_image_array_.jpg,0.9,[12.5],[153.0],no_pair,
1696_cam_image_array_.jpg,0.6,[58.5],"[0.5, 123.0, 145.0]",ambiguous,
1696_cam_image_array_.jpg,0.7,"[45.0, 153.0]",[136.5],unique_pair,90.75
1696_cam_image_array_.jpg,0.8,[36.5],[148.5],unique_pair,92.5
1696_cam_image_array_.jpg,0.9,[],[156.5],no_pair,
1757_cam_image_array_.jpg,0.6,[21.5],"[93.0, 146.5]",ambiguous,
1757_cam_image_array_.jpg,0.7,[152.0],"[113.5, 153.5]",no_pair,
1757_cam_image_array_.jpg,0.8,[13.5],[131.5],unique_pair,72.5
1757_cam_image_array_.jpg,0.9,[9.0],[147.5],no_pair,
1817_cam_image_array_.jpg,0.6,[155.5],"[105.5, 151.0]",no_pair,
1817_cam_image_array_.jpg,0.7,[27.5],[121.0],unique_pair,74.25
1817_cam_image_array_.jpg,0.8,[],[133.5],no_pair,
1817_cam_image_array_.jpg,0.9,[8.5],[144.0],unique_pair,76.25
1878_cam_image_array_.jpg,0.6,"[32.5, 144.0]",[104.0],unique_pair,68.25
1878_cam_image_array_.jpg,0.7,"[26.5, 146.0, 155.0]","[124.5, 152.0]",ambiguous,
1878_cam_image_array_.jpg,0.8,[22.5],[142.0],unique_pair,82.25
1878_cam_image_array_.jpg,0.9,[],[153.5],no_pair,
