frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset
1,0.03567262499973367,30.297362000055728,5.064137000317714,selected,interpolated,-0.055208333333333394
2,0.08195373999978983,24.796212000183004,4.094020999673376,selected,interpolated,-0.055208333333333394
3,0.12877905300001657,42.76934700010315,4.006317999937892,selected,interpolated,-0.05833333333333339
4,0.17582910300006915,42.99403000004531,4.007984000054421,selected,interpolated,-0.055208333333333394
5,0.22319196299986288,43.295746999774565,4.019911000341381,selected,interpolated,-0.055208333333333394
6,0.27014327400002003,42.896030000065366,4.007373000149528,selected,interpolated,-0.055208333333333394
7,0.3171171209996828,43.00541799966595,3.92128200019215,selected,interpolated,-0.055208333333333394
8,0.3659344630000305,44.72637700018822,4.006928999842785,selected,interpolated,-0.055208333333333394
9,0.4112291470000855,41.301699000086955,3.9449490000151854,selected,interpolated,-0.055208333333333394
10,0.45846161999998003,43.19356400037577,3.990132999661,selected,interpolated,-0.055208333333333394
11,0.5054561709998779,43.00956599990968,3.936892000183434,selected,interpolated,-0.055208333333333394
12,0.5526896629999101,43.24315599978945,3.9420040002369205,selected,interpolated,-0.05729166666666661
13,0.5998466930000177,42.96041899988268,4.148648999944271,selected,interpolated,-0.05625
14,0.6469163359997765,43.0793430000449,3.9444669996555604,selected,interpolated,-0.055208333333333394
15,0.6939498859997002,43.063565000011295,3.9227449997270014,selected,interpolated,-0.055208333333333394
16,0.7412530619999416,43.08861999970759,4.165408000062598,selected,interpolated,-0.055208333333333394
17,0.7885491829997591,43.13319400034743,4.114038999887271,selected,interpolated,-0.05625
18,0.8378344809998453,45.27946200005317,3.959799999847746,selected,interpolated,-0.055208333333333394
19,0.8824266009996791,40.60883800002557,3.9354489999823272,selected,interpolated,-0.05625
20,0.9297707949999676,43.17210099998192,4.125945999930991,selected,interpolated,-0.055208333333333394
21,0.9765848849997383,42.85584499984907,3.911541999968904,selected,interpolated,-0.055208333333333394
22,1.0238768579997668,43.13106499967034,4.114316000141116,selected,interpolated,-0.05729166666666661
23,1.0708201130000816,42.95895499990365,3.939300000183721,selected,interpolated,-0.055208333333333394
24,1.1184243220000099,28.243407999980263,4.209649000131321,selected,interpolated,-0.05625
25,1.1649419159998615,42.54607200027749,3.9243369997166155,selected,interpolated,-0.05625
26,1.2124136269999326,43.30647000006138,4.118390000257932,selected,interpolated,-0.05625
27,1.2594574740001008,42.88643800009595,4.111094000109006,selected,interpolated,-0.055208333333333394
28,1.3095745579998948,46.12600600012229,3.9429479998034367,selected,interpolated,-0.055208333333333394
29,1.353716052999971,40.16704700006812,3.927522999674693,selected,interpolated,-0.055208333333333394
30,1.4006510310000522,42.9706959998839,3.917208000075334,selected,interpolated,-0.055208333333333394
31,1.4477756539999973,43.10543499968844,3.9733180001348956,selected,interpolated,-0.05625
32,1.4947800929999175,43.00745499995173,3.9500220000263653,selected,interpolated,-0.055208333333333394
33,1.541937512000004,43.17839699979231,3.9315410003837314,selected,interpolated,-0.05625
34,1.5889704880000863,43.05165800042232,3.912152999873797,selected,interpolated,-0.05625
35,1.641484410999965,46.09976600022492,6.366768000134471,selected,interpolated,-0.055208333333333394
36,1.6879063030000907,40.031420000104845,6.32532400004493,selected,interpolated,-0.055208333333333394
37,1.7386882669998158,42.69497699988278,8.020765000310348,selected,interpolated,-0.05625
38,1.7865278059998673,39.64557299968874,8.119708000322134,selected,interpolated,-0.055208333333333394
39,1.831792250000035,37.16492000012295,8.021283999823936,selected,interpolated,-0.05625
