frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,vision_steering_pwm,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.05377919800002928,2556609069000,0.041613775,True,33.93356600008701,15.472575999865512,ready,0.015625,-0.0171875,353,370,365,True,
2,0.09689201899982436,2556656185000,0.037582559,True,25.134007999895402,13.555941000049643,ready,0.015625,-0.0171875,353,370,365,True,
3,0.14006461600001785,2556703300000,0.033789432,True,28.253160000076605,10.648470999967685,ready,0.015625,-0.0171875,353,370,365,True,
4,0.1869097270000566,2556750417000,0.033501487,True,32.094224999582366,10.468086000400945,ready,0.015625,-0.0171875,353,370,365,True,
5,0.23580165500015937,2556797533000,0.035251453,True,32.7569000000949,11.823747999642364,ready,0.015625,-0.0171875,353,400,365,True,
6,0.28300311100019826,2556844648000,0.035322354,True,31.095446000108495,11.778785999922547,ready,0.015625,-0.0171875,353,400,365,True,
7,0.3286343710001347,2556891762000,0.03390952,True,30.837413999961427,10.53728700026113,ready,0.015625,-0.0171875,353,400,365,True,
8,0.3752384859999438,2556938877000,0.033391135,True,31.947117000072467,10.393271999873832,ready,0.015625,-0.0171875,353,400,365,True,
9,0.4224957370001903,2556985995000,0.033549608,True,32.62397599974065,10.389271999883931,ready,0.015625,-0.0171875,353,400,365,True,
10,0.4699023200000738,2557033110000,0.033831117,True,32.162483999854885,10.990855000272859,ready,0.0125,-0.01562500000000001,353,400,365,True,
11,0.5163055120001445,2557080226000,0.033104346,True,31.845507999605616,10.287163000157307,ready,0.0125,-0.01562500000000001,353,400,365,True,
12,0.5633034160000534,2557127341000,0.033006787,True,32.578959000147734,10.170737999942503,ready,0.0125,-0.01562500000000001,353,400,365,True,
13,0.6102866539999923,2557174459000,0.03286758,True,32.68549399990661,10.045463000096788,ready,0.009375,-0.014062500000000007,353,400,365,True,
14,0.6619031660002292,2557221572000,0.037326112,True,35.31554299979689,12.00076299983266,ready,0.009375,-0.014062500000000007,353,400,365,True,
15,0.7069688430001406,2557268686000,0.03527077,True,28.808446999846637,11.951560000397876,ready,0.00625,-0.012500000000000006,352,400,365,True,
16,0.7523215149999487,2557315801000,0.033564516,True,30.388790999950288,10.714229999848612,ready,0.003125,-0.010937500000000006,352,400,365,True,
17,0.7991028490000645,2557362918000,0.033238923,True,32.12290999999823,10.41945700035285,ready,0.021875,-0.020312500000000004,354,400,365,True,
18,0.8479437599999073,2557410034000,0.034912316,True,33.09976499986078,11.450939000042126,ready,0.021875,-0.025000000000000015,354,400,365,True,
19,0.8948874239999896,2557457151000,0.03473237,True,31.412792999617523,11.232369000026665,ready,0.01875,-0.023437500000000003,354,400,365,True,
20,0.9426410010000836,2557504263000,0.035419298,True,33.388834000106726,10.109259000273596,ready,0.0140625,-0.016406250000000004,353,400,365,True,
21,0.9877333079998607,2557551379000,0.03339729,True,30.9472639996784,9.894928999983676,ready,0.0078125,-0.006249999999999988,351,400,365,True,
22,1.034427272999892,2557598496000,0.032984644,True,32.3772030001237,10.077221999836183,ready,0.0015625,0.015624999999999991,348,400,365,True,
23,1.0818535970001903,2557645611000,0.033263172,True,32.80275099996288,10.351383999932295,ready,0.028125,-0.046874999999999944,358,400,365,True,
24,1.1293205309998484,2557692727000,0.033616272,True,32.58949600012784,10.607508999783022,ready,0.021875,-0.04374999999999995,358,400,365,True,
25,1.1763490829998773,2557739842000,0.033546621,True,32.21768700041139,10.55673199971352,ready,0.015625,-0.04062499999999995,357,400,365,True,
26,1.223204823999822,2557786957000,0.033312065,True,32.12020699993445,10.504067000056239,ready,0.009375,-1.734723475976807e-18,350,400,365,True,
27,1.27246398699981,2557834071000,0.035436414,True,34.66297999966628,10.347995000302035,ready,0.009375,-0.004687500000000002,351,400,365,True,
28,1.3181748580000203,2557881188000,0.034030266,True,30.428679999658925,11.032650000288413,ready,0.00625,-0.007812500000000005,351,400,365,True,
29,1.3659975639998265,2557928305000,0.034672399,True,32.33407400011856,11.17307399999845,ready,0.00625,-0.012500000000000006,352,400,365,True,
30,1.4132387610002297,2557975420000,0.034806336,True,31.768194000051153,11.166259000219725,ready,0.003125,-0.010937500000000006,352,400,365,True,
31,1.460862636999991,2558022533000,0.035332619,True,31.593604999670788,11.738083000182087,ready,0.0,-0.009375000000000003,352,400,365,True,
32,1.507654064000235,2558069651000,0.03499612,True,31.047373000092193,11.440198999935092,ready,0.0,-0.009375000000000003,352,400,365,True,
33,1.5550410539999575,2558116768000,0.035324407,True,33.18265200005044,9.960593999949197,ready,0.0109375,-0.019531250000000003,354,400,365,True,
34,1.5996509430001424,2558163880000,0.032818851,True,30.508529999679013,9.855151000010665,ready,0.0078125,-0.017968750000000006,353,400,365,True,
35,1.6468202900000506,2558210997000,0.032867309,True,32.954620000055,9.964020000097662,ready,0.003125,0.003125,350,400,365,True,
36,1.6940262100001746,2558258113000,0.032956914,True,32.99261900019701,9.963298000002396,ready,0.021875,-0.04374999999999995,358,400,365,True,
37,1.7416057159998672,2558305228000,0.033417753,True,32.783677999759675,10.544566000135092,ready,0.0125,-0.03437499999999996,356,400,365,True,
38,1.7894944390000092,2558352343000,0.034199865,True,32.49547900031757,11.148092999974324,ready,0.00625,0.0015624999999999988,350,400,365,True,
39,1.8364244929998677,2558399460000,0.033976364,True,31.76158399992346,10.887133999858634,ready,0.00625,-0.007812500000000005,351,400,365,True,
40,1.8848257640001975,2558446574000,0.035302745,True,33.76916099978189,10.389328000201203,ready,0.00625,-0.012500000000000006,352,400,365,True,
41,1.9299188670001968,2558493688000,0.033286441,True,30.46349399983228,10.390013000233012,ready,0.003125,-0.006250000000000003,351,400,365,True,
42,1.9798981120002281,2558540805000,0.036089817,True,33.313094999812165,12.3710170000777,ready,0.003125,-0.0015625000000000014,350,400,365,True,
43,2.025469078000242,2558587919000,0.03453969,True,30.064611999932822,11.200500000086322,ready,0.0140625,-0.011718750000000005,352,400,365,True,
44,2.070643236000251,2558635036000,0.032653292,True,31.09379900024578,9.830244000113453,ready,0.0109375,-0.014843750000000006,353,400,365,True,
45,2.118295705000037,2558682149000,0.033190779,True,33.54938700022103,9.855318000063562,ready,0.003125,0.003125,350,400,365,True,
46,2.168346521999865,2558729266000,0.036085505,True,34.15095199989082,11.610289000145713,ready,0.021875,-0.034374999999999954,356,400,365,True,
47,2.214371832999859,2558776383000,0.034970205,True,30.022038999959477,11.687639000228955,ready,0.015625,-0.031249999999999965,356,400,365,True,
48,2.2608836350000274,2558823496000,0.034443154,True,31.495662999986962,10.777153999697475,ready,0.009375,-1.734723475976807e-18,350,370,365,True,time_limit
