run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
133705,000023_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.5), (0.75, 97.75), (0.8, 100.5)]"
133705,000045_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.5), (0.75, 98.0), (0.8, 100.5)]"
133705,000067_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000089_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000111_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000133_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000155_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000177_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.5), (0.75, 97.75), (0.8, 100.5)]"
133705,000199_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000221_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000243_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000265_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000287_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 98.0), (0.8, 100.25)]"
133705,000309_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.5), (0.75, 97.75), (0.8, 100.5)]"
133705,000331_raw.jpg,ready,ready,347,347,92.5,92.5,87.75,consistent,"[(0.55, 87.75), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
