frame,elapsed_s,ready,source,pwm,near,far,reason,ms
1,0.005646421001074486,True,paired,377,82.0,76.25,consistent,0.42225001379847527
2,0.05288335800105415,True,paired,377,82.0,76.25,consistent,0.3717920044437051
3,0.0987836710010015,True,paired,377,82.0,76.5,consistent,0.3469170769676566
4,0.1453059920004307,True,paired,377,82.0,76.25,consistent,0.361874932423234
5,0.19349226499980432,True,paired,377,82.0,76.5,consistent,0.35870797000825405
6,0.23942933600119432,True,paired,377,82.0,76.25,consistent,0.39904098957777023
7,0.2865344060010102,True,paired,377,82.0,76.25,consistent,0.3638329217210412
8,0.33382576900112326,True,paired,377,82.0,76.25,consistent,0.35404099617153406
9,0.38090600600116886,True,paired,377,82.0,76.25,consistent,0.34849997609853745
10,0.42785335600092367,True,paired,377,82.0,76.25,consistent,0.43591600842773914
11,0.474981833000129,True,paired,377,82.0,76.25,consistent,0.33404200803488493
12,0.5221339760009869,True,paired,377,82.0,76.25,consistent,0.34799997229129076
13,0.5692217310006527,True,paired,377,82.0,76.25,consistent,0.36833295598626137
14,0.6176480920003087,True,paired,377,82.0,76.25,consistent,0.3334169741719961
15,0.6656447759996809,True,paired,377,82.0,76.25,consistent,0.35262503661215305
16,0.7112402980001207,True,paired,377,82.0,76.25,consistent,0.34324999433010817
17,0.757717323000179,True,paired,377,82.0,76.25,consistent,0.3285830607637763
18,0.8047920419994625,True,paired,377,82.0,76.5,consistent,0.355791999027133
19,0.8526294690000213,True,paired,377,82.0,76.25,consistent,0.3506250213831663
20,0.8996267069996975,True,paired,377,82.0,76.25,consistent,0.3309169551357627
21,0.9470978080007626,True,paired,377,82.0,76.25,consistent,0.36575004924088717
22,0.9942441180010064,True,paired,377,82.0,76.5,consistent,0.33308309502899647
23,1.0411342099996546,True,paired,377,82.0,76.25,consistent,0.3299999516457319
24,1.0874502370006667,True,paired,377,82.0,76.25,consistent,0.36149995867162943
25,1.1373850729996775,True,paired,377,82.0,76.25,consistent,0.3306659637019038
26,1.1817115240010025,True,paired,377,82.0,76.25,consistent,0.33199996687471867
27,1.2306107660006091,True,paired,377,82.0,76.25,consistent,0.37454196717590094
28,1.276659503000701,True,paired,377,82.0,76.25,consistent,0.3748750314116478
29,1.3236391860009462,True,paired,377,82.0,76.25,consistent,0.36258308682590723
30,1.370788292000725,True,paired,377,82.0,76.25,consistent,0.40033296681940556
31,1.4178729360010038,True,paired,377,82.0,76.25,consistent,0.36529102362692356
32,1.464943562001281,True,paired,377,82.0,76.25,consistent,0.37045800127089024
33,1.5121379080010229,True,paired,377,82.0,76.25,consistent,0.3987079253420234
34,1.5594161040007748,True,paired,377,82.0,76.25,consistent,0.36695797462016344
35,1.609654453000985,True,paired,377,82.0,76.25,consistent,0.33637508749961853
36,1.653596854999705,True,paired,377,82.0,76.5,consistent,0.3507910296320915
37,1.7000100300010672,True,paired,377,82.0,76.25,consistent,0.3504590131342411
38,1.7472718930002884,True,paired,377,82.0,76.25,consistent,0.3309160238131881
39,1.7960759329998837,True,paired,377,82.0,76.25,consistent,0.35975000355392694
40,1.8433954070005711,True,paired,378,81.75,76.0,consistent,0.335542019456625
41,1.8890537050010607,True,paired,378,82.0,76.0,consistent,0.33779197838157415
42,1.9364318440002535,True,paired,378,82.0,76.0,consistent,0.3573329886421561
43,1.9832991399998718,True,paired,377,82.0,76.5,consistent,0.3370000049471855
44,2.0305339860005915,True,paired,377,82.0,76.5,consistent,0.3291250905022025
45,2.077708980001262,True,paired,377,82.25,76.5,consistent,0.3599999472498894
46,2.1244327229996998,True,paired,377,81.75,76.25,consistent,0.31754106748849154
47,2.1712152609998157,True,paired,377,81.75,76.25,consistent,0.3179169725626707
48,2.2182337770009326,True,paired,378,81.75,76.0,consistent,0.3446670016273856
49,2.2654256599998916,True,paired,377,81.25,76.0,consistent,0.34187501296401024
50,2.314036148000014,True,paired,377,81.25,76.0,consistent,0.345999957062304
51,2.360378638999464,True,paired,378,81.25,75.75,consistent,0.3861660370603204
52,2.4074120429995673,True,paired,378,81.0,75.75,consistent,0.3684579860419035
53,2.456399190999946,True,paired,379,81.0,75.5,consistent,0.3944580676034093
54,2.501420519000021,True,paired,379,80.75,75.25,consistent,0.37274998612701893
55,2.54976149399954,True,paired,380,80.5,74.75,consistent,0.3745410358533263
56,2.5958091560005414,True,paired,380,80.0,74.75,consistent,0.3733329940587282
57,2.6434987150005327,True,paired,380,79.25,74.5,consistent,0.4406670341268182
58,2.6893316410005355,True,paired,381,80.25,74.25,consistent,0.3489579539746046
59,2.7364616360009677,True,paired,382,79.875,74.0,consistent,0.35912496969103813
60,2.7835869829996227,True,paired,382,79.75,74.0,consistent,0.37120794877409935
61,2.830838087000302,True,paired,384,79.5,73.25,consistent,0.3547919914126396
62,2.8779551759998867,True,paired,383,79.25,73.25,consistent,0.33945904579013586
