frame,elapsed_s,sensor_timestamp,exposure_time,analogue_gain
1,0.005646421001074486,9949989175000,29968,2.4375
2,0.05288335800105415,9950036292000,29968,2.4375
3,0.0987836710010015,9950083409000,29968,2.4375
4,0.1453059920004307,9950130524000,29968,2.4375
5,0.19349226499980432,9950177639000,29968,2.4375
6,0.23942933600119432,9950224756000,29968,2.4375
7,0.2865344060010102,9950271868000,29968,2.4375
8,0.33382576900112326,9950318987000,29968,2.4375
9,0.38090600600116886,9950366099000,29968,2.4375
10,0.42785335600092367,9950413218000,29968,2.4375
11,0.474981833000129,9950460333000,29968,2.4375
12,0.5221339760009869,9950507449000,29968,2.4375
13,0.5692217310006527,9950554565000,29968,2.4375
14,0.6176480920003087,9950601679000,29968,2.4375
15,0.6656447759996809,9950648796000,29968,2.4375
16,0.7112402980001207,9950695912000,29968,2.4375
17,0.757717323000179,9950743028000,29968,2.4375
18,0.8047920419994625,9950790142000,29968,2.4375
19,0.8526294690000213,9950837257000,29968,2.4375
20,0.8996267069996975,9950884373000,29968,2.4375
21,0.9470978080007626,9950931489000,29968,2.4375
22,0.9942441180010064,9950978604000,29968,2.5
23,1.0411342099996546,9951025718000,29968,2.5
24,1.0874502370006667,9951072835000,29968,2.5
25,1.1373850729996775,9951119950000,29968,2.5
26,1.1817115240010025,9951167066000,29968,2.5
27,1.2306107660006091,9951214181000,29968,2.5
28,1.276659503000701,9951261297000,29968,2.5
29,1.3236391860009462,9951308412000,29968,2.5
30,1.370788292000725,9951355528000,29968,2.5
31,1.4178729360010038,9951402643000,29968,2.5
32,1.464943562001281,9951449760000,29968,2.5
33,1.5121379080010229,9951496875000,29968,2.5
34,1.5594161040007748,9951543990000,29968,2.5
35,1.609654453000985,9951591105000,29968,2.5
36,1.653596854999705,9951638221000,29968,2.5
37,1.7000100300010672,9951685337000,29968,2.5
38,1.7472718930002884,9951732451000,29968,2.5
39,1.7960759329998837,9951779567000,29968,2.5
40,1.8433954070005711,9951826682000,29968,2.5
41,1.8890537050010607,9951873798000,29968,2.5
42,1.9364318440002535,9951920914000,29968,2.5
43,1.9832991399998718,9951968028000,29968,2.5
44,2.0305339860005915,9952015144000,29968,2.5
45,2.077708980001262,9952062259000,29968,2.5
46,2.1244327229996998,9952109373000,29968,2.5625
47,2.1712152609998157,9952156486000,29968,2.5625
48,2.2182337770009326,9952203605000,29968,2.5625
49,2.2654256599998916,9952250721000,29968,2.5625
50,2.314036148000014,9952297836000,29968,2.5625
51,2.360378638999464,9952344951000,29968,2.5625
52,2.4074120429995673,9952392068000,29968,2.5625
53,2.456399190999946,9952439183000,29968,2.5625
54,2.501420519000021,9952486299000,29968,2.5625
55,2.54976149399954,9952533416000,29968,2.5625
56,2.5958091560005414,9952580529000,29968,2.5625
57,2.6434987150005327,9952627644000,29968,2.5625
58,2.6893316410005355,9952674759000,29968,2.5625
59,2.7364616360009677,9952721875000,29968,2.5625
60,2.7835869829996227,9952768988000,29968,2.5625
61,2.830838087000302,9952816106000,29968,2.5625
62,2.8779551759998867,9952863218000,29968,2.5625
63,2.925069134000296,9952910338000,29968,2.5625
64,2.972573029999694,9952957452000,29968,2.5625
65,3.0217633040010696,9953004566000,29968,2.625
66,3.068106943001112,9953051685000,29968,2.625
67,3.1134982650000893,9953098797000,29968,2.625
68,3.1608134050002263,9953145914000,29968,2.625
69,3.2077056640009687,9953193028000,29968,2.625
70,3.254951508999511,9953240145000,29968,2.625
71,3.3022317420000036,9953287259000,29968,2.6875
72,3.349084835001122,9953334376000,29968,2.6875
73,3.3969438359999913,9953381492000,29968,2.6875
74,3.4440021099999285,9953428607000,29968,2.6875
75,3.49363861799975,9953475723000,29968,2.6875
76,3.538525744001163,9953522839000,29968,2.75
77,3.585256043001209,9953569955000,29968,2.75
78,3.6317263649998495,9953617068000,29968,2.75
79,3.6809770640011266,9953664184000,29968,2.75
80,3.7265662150002754,9953711299000,29968,2.75
81,3.7737948020003387,9953758415000,29968,2.75
82,3.8208376319998933,9953805531000,29968,2.75
83,3.867998626001281,9953852644000,29968,2.75
84,3.915291323000929,9953899763000,29968,2.75
85,3.965733426999577,9953946875000,29968,2.75
86,4.009885122000924,9953993994000,29968,2.75
87,4.056146114000512,9954041107000,29968,2.75
88,4.103062817001046,9954088222000,29968,2.75
89,4.150823764000961,9954135339000,29968,2.75
90,4.198280661001263,9954182456000,29968,2.8125
91,4.245092199000283,9954229569000,29968,2.8125
92,4.292185287000393,9954276684000,29968,2.8125
93,4.339386282001215,9954323801000,29968,2.8125
94,4.3862985400010075,9954370913000,29968,2.8125
95,4.434115190000739,9954418032000,29968,2.875
96,4.480861099000322,9954465143000,29968,2.875
97,4.528077630000553,9954512263000,29968,2.875
98,4.575116830999832,9954559376000,29968,2.875
99,4.621733723999569,9954606492000,29968,2.9375
100,4.668485817999681,9954653608000,29968,2.9375
101,4.715692941999805,9954700724000,29968,2.9375
102,4.762695588000497,9954747837000,29968,2.9375
103,4.810133596000014,9954794953000,29968,3.0
104,4.857063446999746,9954842069000,29968,3.0
105,4.909174317999714,9954889184000,29968,3.0625
106,4.951647838999634,9954936299000,29968,3.125
107,4.998322176001238,9954983415000,29968,3.125
108,5.045528114000263,9955030530000,29968,3.125
109,5.092871586999536,9955077646000,29968,3.1875
110,5.140523850999671,9955124761000,29968,3.1875
111,5.186701696000455,9955171876000,29968,3.1875
112,5.233864339001229,9955218992000,29968,3.1875
113,5.28128857000047,9955266107000,29968,3.25
114,5.328079979000904,9955313222000,29968,3.25
115,5.3754173970010015,9955360338000,29968,3.25
116,5.42241009800091,9955407453000,29968,3.25
117,5.469418855000185,9955454569000,29968,3.25
118,5.516661089000991,9955501682000,29968,3.25
119,5.563993062000009,9955548800000,29968,3.3125
120,5.61081761800051,9955595914000,29968,3.3125
121,5.657814727001096,9955643031000,29968,3.3125
122,5.707020019999618,9955690146000,29968,3.3125
123,5.752762223999525,9955737263000,29968,3.3125
124,5.7998056470005395,9955784377000,29968,3.3125
125,5.849464450000596,9955831492000,29968,3.3125
126,5.893423814999551,9955878609000,29968,3.3125
127,5.940756343999965,9955925723000,29968,3.3125
128,5.987819693000347,9955972840000,29968,3.3125
129,6.036550864000674,9956019953000,29968,3.3125
130,6.082628489000854,9956067069000,29968,3.3125
131,6.131704913001158,9956114187000,29968,3.3125
132,6.176149974000509,9956161302000,29968,3.3125
133,6.223247784000705,9956208418000,29968,3.3125
134,6.271190691000811,9956255530000,29968,3.3125
135,6.318186597000022,9956302650000,29968,3.3125
136,6.364767267999923,9956349762000,29968,3.3125
137,6.411539603001074,9956396880000,29968,3.3125
138,6.4606153980003,9956443992000,29968,3.3125
139,6.506633893999606,9956491111000,29968,3.3125
140,6.55362583600072,9956538227000,29968,3.3125
141,6.600190766999731,9956585341000,29968,3.3125
142,6.647307504001219,9956632456000,29968,3.3125
143,6.69433539000056,9956679571000,29968,3.3125
144,6.741536976000134,9956726687000,29968,3.3125
145,6.78966588000003,9956773802000,29968,3.25
146,6.836344846000429,9956820920000,29968,3.25
147,6.883095921999484,9956868033000,29968,3.25
148,6.929842090999955,9956915149000,29968,3.25
149,6.979256083999644,9956962265000,29968,3.1875
150,7.025002825001138,9957009379000,29968,3.1875
151,7.071884584000145,9957056495000,29968,3.1875
152,7.118426164000994,9957103608000,29968,3.1875
153,7.165340626001125,9957150726000,29968,3.1875
154,7.213295052000831,9957197840000,29968,3.1875
155,7.260485378999874,9957244958000,29968,3.1875
156,7.306792019000568,9957292074000,29968,3.1875
157,7.35433824699976,9957339188000,29968,3.125
158,7.403064510999684,9957386303000,29968,3.125
