frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset
1,0.03729864099977931,31.27642300023581,5.6954439996843575,selected,direct,0.153125
2,0.08355275699977938,24.137832000178605,4.777010999987397,selected,direct,0.153125
3,0.1305539370000588,42.24733599994579,4.706381999767473,selected,direct,0.153125
4,0.17754506199980824,42.289724000056594,4.656235000311426,selected,direct,0.153125
5,0.22472092499992868,42.46462799983419,4.665662000206794,selected,direct,0.153125
6,0.2718592699998226,42.28457499993965,4.807752000033361,selected,direct,0.153125
7,0.31900776400016184,42.43018400029541,4.673642999932781,selected,direct,0.153125
8,0.36675408200017046,42.9047709999395,4.796418999831076,selected,direct,0.153125
9,0.41300984600002266,41.63976899963018,4.5684770002480946,selected,direct,0.153125
10,0.46026935600002616,42.46762900038448,4.744659999687428,selected,direct,0.153125
11,0.5072640919997866,42.316890000165586,4.632512999705796,selected,direct,0.153125
12,0.5545885090000411,42.493294999985665,4.784659000051761,selected,direct,0.15625
13,0.6014351909998368,42.182279999906314,4.618124999979045,selected,direct,0.153125
14,0.6485259629998836,42.46983199982424,4.575513999952818,selected,direct,0.153125
15,0.6955904020001071,42.46646100000362,4.553644000225177,selected,direct,0.153125
16,0.7428634120001334,42.61281199978839,4.615051000200765,selected,direct,0.153125
17,0.791574829000183,43.935756999871955,4.728624000108539,selected,direct,0.153125
18,0.8370491589998892,40.81003900000724,4.618754999683006,selected,direct,0.153125
19,0.8841720039999927,42.45370299986462,4.624829000022146,selected,direct,0.153125
20,0.9313034609999704,42.478813999878184,4.608421000284579,selected,direct,0.153125
21,0.9783731769998667,42.38631499993062,4.637809000087145,selected,direct,0.153125
22,1.0255230409998148,42.49479500003872,4.610346999925241,selected,direct,0.153125
23,1.072605774999829,42.42316599993501,4.615272999672015,selected,direct,0.153125
24,1.1199279699999352,26.72505700002148,4.7218460003932705,selected,direct,0.153125
25,1.1670557040001768,42.368925999653584,4.7119200003180595,selected,direct,0.153125
26,1.214005496000027,42.272575000424695,4.631476999747974,selected,direct,0.15625
27,1.2611770260000412,42.41516599995521,4.710734000127559,selected,direct,0.153125
28,1.3083922030000394,42.512849999639,4.656772000089404,selected,direct,0.15625
29,1.3554638270002215,42.422000000442495,4.604790999565012,selected,direct,0.153125
30,1.4036472510001659,43.51813300036156,4.619309999725374,selected,direct,0.15625
31,1.449515261000215,41.11710899996979,4.705994000232749,selected,direct,0.153125
32,1.4965500710000015,42.397241000344366,4.593569000007847,selected,direct,0.153125
33,1.5439569489999485,42.6260900003399,4.734697000003507,selected,direct,0.153125
34,1.5909314629998335,42.225428000165266,4.678179000165983,selected,direct,0.153125
35,1.643812510999851,45.364516000063304,7.470143000318785,selected,direct,0.153125
36,1.690264549999938,38.836917000026006,7.5512900002649985,selected,direct,0.153125
37,1.738365419999809,39.45076100035294,8.586146999732591,selected,direct,0.153125
38,1.7858155760000045,38.94882300028257,8.432000000084372,selected,direct,0.153125
39,1.8326199990001442,38.57553199986796,8.125041000312194,selected,direct,0.153125
40,1.8784929349999402,38.306386999920505,7.501883000259113,selected,direct,0.153125
41,1.9256800389998716,39.75549699998737,7.366441000158375,selected,direct,0.153125
42,1.9739769429997978,39.95540300002176,8.276187000319624,selected,direct,0.153125
43,2.0211633429998983,38.75145500023791,8.365982999748667,selected,direct,0.15625
44,2.068378280000161,38.676956000017526,8.469648999835044,selected,direct,0.15625
45,2.1152234430001045,38.551457000266964,8.225651999964612,selected,direct,0.15625
46,2.162757172000056,13.570840999818756,6.887280000228202,selected,direct,0.153125
47,2.207084331999795,37.54089600033694,6.727874999796768,selected,direct,0.153125
48,2.255364940000163,40.45324700018682,7.768471999952453,selected,direct,0.153125
49,2.3037201759998425,39.89275499998257,8.397296999646642,selected,direct,0.153125
50,2.3510447230000864,38.78171399992425,8.474741000100039,selected,direct,0.15625
51,2.397806572999798,38.468440999622544,8.226762000049348,selected,direct,0.15625
52,2.445146822999959,38.91582299957008,8.354205000159709,selected,direct,0.153125
53,2.4924047780000365,38.8733240001784,8.315871999911906,selected,direct,0.15625
54,2.539350087999992,38.5999569998603,8.276724000097602,selected,direct,0.153125
55,2.586438414999975,38.751714999762044,8.268558000054327,selected,direct,0.15625
56,2.6335885570001665,38.76386199999615,8.316964999721677,selected,direct,0.153125
57,2.6806969760000356,38.717417999578174,8.323299000039697,selected,direct,0.15625
58,2.72779241499984,38.72180700000172,8.305224999730854,selected,direct,0.15625
59,2.7751342020001175,38.82958400026837,8.444629999758035,selected,direct,0.153125
60,2.821872792999784,38.441661999968346,8.228540999880352,selected,direct,0.153125
61,2.8690461739997772,38.85471300009158,8.214207000037277,selected,direct,0.153125
62,2.916254536999986,38.823139000214724,8.316798999658204,selected,direct,0.15625
63,2.963674711999829,38.9156199998979,8.435833000021375,selected,direct,0.153125
64,3.010601078000036,38.45416200010732,8.40444599998591,selected,direct,0.153125
65,3.0578495330000806,38.77826899997672,8.398575999763125,selected,direct,0.153125
66,3.1047290110000176,38.41479300035644,8.358611999938148,selected,direct,0.153125
67,3.152103835000162,38.814360999822384,8.493759999964823,selected,direct,0.15625
68,3.198011010999835,8.483000000069296,6.943334999959916,selected,direct,0.153125
